,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Lianhua-Qingwen formula,DC6,DC19,DC1,DC20,DC8,DC15,DC7,DC18,DC4,DC2,DC12,DC9,DC10,DC17,DC13,DC5,DC11,DC3,DC14,DC16
Xuanfei-Baidu formula,DC18,DC14,DC13,DC5,DC3,DC11,DC2,DC17,DC10,DC9,DC12,DC4,DC7,DC15,DC20,DC8,DC16,DC1,DC19,DC6
Qingfei-Paidu formula,DC2,DC12,DC7,DC17,DC5,DC20,DC1,DC16,DC10,DC11,DC13,DC15,DC6,DC3,DC14,DC8,DC19,DC4,DC18,DC9
Jinhua-Qinggan formula,DC18,DC19,DC14,DC2,DC7,DC10,DC17,DC4,DC9,DC13,DC3,DC1,DC20,DC8,DC12,DC6,DC15,DC5,DC11,DC16
Xuebijing formula,DC3,DC14,DC19,DC10,DC4,DC18,DC7,DC13,DC17,DC6,DC5,DC12,DC8,DC9,DC1,DC11,DC15,DC16,DC2,DC20
Huashi-Baidu formula,DC9,DC15,DC14,DC20,DC10,DC19,DC18,DC2,DC4,DC5,DC3,DC11,DC6,DC8,DC7,DC1,DC13,DC12,DC17,DC16
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note：,,,,,,,,,,,,,,,,,,,,
DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,
Mori Folium,Hippophae Fructus,Carthami Flos,Peucedani Radix,Herbal Ephedra,Perilla,Rhododendri Daurici Folium,Lesser Galangal Rhizome,Flower of Lobed Kudzuvine,Amomi Fructus,Notopterygii Rhizoma Et Radix,Inulae Herba,Herba Gnathali Affinis,Lasiosphaera,Chinese Fevervine Herb,Fineleaf Schizonepeta Herb,Herba Glechomae,Palmleaf Raspberry Fruit,Fructus Rosae Laevigatae,Japanese Ampelopsis Root,
Fructus Tribuli,Zanthoxyli Radix,Coralhead Plant Seed,Caulis Trachelospermi,Chicory Herb,Anemarrhenae Rhizoma,Common Cephalanoplos Herb,Radix Gentianae,Ussuriensis Fritillary Bulb,Inulae Flos,Eupatorii Herba,Grassleaf Sweetflag Rhizome,Fourleaf Ladybell Root,Peppermint,Fourstamen Stephania Root,Meliae Cortex,Bistortae Rhizoma,Platycodonis Radix,Blackberrylily Rhizome,Benzoin,
Common Macrocarpium Fruit,Modern Rose,Ginkgo Folium,Honeysuckle Flower,Forsythia Suspensa,Chrysanthemum,Rhizoma Dioscoreae Bulbiferae,Smilacis Chinae Rhizoma,Farfarae Flos,Perilla,Fructus Rosae Laevigatae,Stigma Maydis,Tatarian Aster Root,Mistletoe,Raisin Tree Seed,Herba Hyperici Japonici,Chinese Honeylocust Spine,Ilicis Chinensis Folium,Herbal Ephedra根,Glossy Privet Fruit,
Carthami Flos,Peucedani Radix,Mori Folium,Hippophae Fructus,Rhododendri Daurici Folium,Lesser Galangal Rhizome,Herbal Ephedra,Flower of Lobed Kudzuvine,Herba Gnathali Affinis,Smilacis Glabrae Rhizoma,Achyranthes Bidentata,Palmleaf Raspberry Fruit,Herba Glechomae,Stemonae Radix,Glabrous Sarcandra Herb,Notopterygii Rhizoma Et Radix,Amomi Fructus,Fructus Jujubae ,Descolor Cinquefoil Herb,Coix Seed,
Calendula officinalis,Common Cephalanoplos Herb,Meliae Cortex,Lasiosphaera,Inulae Herba,Black Nightshade Herb,Akebia Stem,Eupatorii Herba,Bistortae Rhizoma,Modern Rose,Imperatae Rhizoma ,Rhododendri Daurici Folium,Rhododendri Daurici Folium,Smilacis Glabrae Rhizoma,Rhizoma Polygonati,Beartiful Sweetgum Fruit,Large Thistle,Himalayan Teasel Root,Common Macrocarpium Fruit,Amomi Fructus,
Forsythia Suspensa,Common Macrocarpium Fruit,Herba Hyperici Japonici,Herba Glechomae,Hippophae Fructus,Peucedani Radix,Herba Gnathali Affinis,Chinese Fevervine Herb,Fructus Rosae Laevigatae,Chinese Fevervine Herb,Mistletoe,Fructus Rosae Laevigatae,Lesser Galangal Rhizome,Lesser Galangal Rhizome,Perilla,Pharbitis Seed,Grosvenor Momordica Fruit,Hippophae Fructus,Medicinal Evodia Fruit,Chinese Fevervine Herb,
Indigowoad Root,Carthami Flos,Strychni Semen,Smilacis Chinae Rhizoma,Honeysuckle Flower,Herba Gnathali Affinis,Flower of Lobed Kudzuvine,Perilla,Achyranthes Bidentata,Fruit of Tree-of-heaven Ailanthus,Platycladi Cacumen,Cortex Phellodendri Chinensis,Kaki Calyx,Notopterygii Rhizoma Et Radix,Grosvenor Momordica Fruit,Peppermint,Herbal Ephedra,Pharbitis Seed,Perilla Fruit,Purslane Herb,
Caulis Trachelospermi,Ginkgo Folium,Swertiae Mileensis Herba,Ecliptae Herba,Smilacis Chinae Rhizoma,Modern Rose,Chrysanthemum,Fructus Jujubae ,Asparagi Radix,Rhododendri Daurici Folium,Lemongrass Herb,Modern Rose,Germinated Barley,Stigma Maydis,Lesser Galangal Rhizome,Farfarae Flos,Smilacis Glabrae Rhizoma,Dogbane Leaf,Hippophae Fructus,Wild Chrysanthemum,
Indigo Naturalis,Amur Corktree Bark,Salviae Miltiorrhizae,Hyperici Perforati Herba,Rhubarb,Amur Corktree Bark,Curcumae Radix,Aucklandiae Radix,Platycodonis Radix,Fagopyri Dibotryis Rhizoma,Anemones Raddeanae Rhizoma,Grosvenor Momordica Fruit,Salviae Miltiorrhizae,Fimbriate Orostachys,Humuli Scandentis Herba,Perilla,Rhizoma Dioscoreae Bulbiferae,Tree-of-Heaven Bark,Red Peony Root,Fourleaf Ladybell Root,
Amur Corktree Bark,Coralhead Plant Seed,Common Macrocarpium Fruit,Omphalia,Coptis Root,Allii Macrostemonis Bulbus,Anemarrhenae Rhizoma,Commelinae Herba,Daylily Root,Radix Gentianae,Fimbriate Orostachys,Yanhusuo,Dyers Woad Leaf,Fructus Tribuli,Giant Knotweed Rhizome,Benzoin,Ilex latifolia Thunb,Chicory Herb,Figwort Root,Purslane Speedwell Herb,
Ginkgo Folium,Sophorae Flavescentis Radix,Modern Rose,Modern Rose,Hyperici Perforati Herba,Zanthoxyli Radix,Bulb of Thunberg Fritillary,Mung Bean,Forsythia Suspensa,Ginkgo Seed,Modern Rose,Vietnamese Sophora Root,Forsythia Suspensa,Golden Larch Bark,Lotus Plumule,Artemisiae Annuae Herba,Indian Stringbush Root,Herb of Crescent-shaped Euphorbia,Herba Selaginellae Doederleinii,Yanhusuo,
Bletilla Striata,Indigowoad Root,Greater Calandine Herb,Garlic,Herba Glechomae,Forsythia Suspensa,Herba Hyperici Japonici,Curcumae Radix,Herba Hyperici Japonici,Rhizoma Atractylodis,Chinese Fevervine Herb,Hydnocarpus anthelmintica Pier,Tabasheer,Allii Macrostemonis Bulbus,Green Tangerine Peel,Nelumbinis Receptaculum,Ricini Semen,Asparagi Radix,Bomeol,Rhizoma Dioscoreae Bulbiferae,
Stemonae Radix,Arecae Pericarpium,Herbal Ephedra根,Akebia Stem,Flower of Lobed Kudzuvine,Flos Daturae,Peucedani Radix,Herba Gnathali Affinis,Notopterygii Rhizoma Et Radix,Mistletoe,Herba Glechomae,Fagopyri Dibotryis Rhizoma,Fructus Jujubae ,Perilla,Dogbane Leaf,Ginkgo Folium,Gambir Plant Nod,Notopterygii Rhizoma Et Radix,Lesser Galangal Rhizome,Morinda Root,
Hyperici Perforati Herba,Imperatae Rhizoma ,Ilex latifolia Thunb,Amur Corktree Bark,Rhizoma Dioscoreae Bulbiferae,Flower of Lobed Kudzuvine,Root of Garden Eggplant,Fructus Rosae Laevigatae,Cortex Erythrinae Seu Kalopanacis,Stigma Maydis,Herba Hyperici Japonici,Perilla,Grosvenor Momordica Fruit,Hippophae Fructus,Rhododendri Daurici Folium,Grosvenor Momordica Fruit,Pharbitis Seed,Lesser Galangal Rhizome,Germinated Barley,Germinated Barley,
Vigna umbellata,Radix Tinosporae,Aconiti Kusnezoffii Folium,Rhizome of Decumbent Corydalis,Chrysanthemum,Herba Glechomae,Beartiful Sweetgum Fruit,Notopterygii Rhizoma Et Radix,Kaki Calyx,Smilacis Chinae Rhizoma,Smilacis Glabrae Rhizoma,Hippophae Fructus,Farfarae Flos,Grosvenor Momordica Fruit,Smilacis Glabrae Rhizoma,Lesser Galangal Rhizome,Herba Euphorbiae Helioscopiae,Smilacis Glabrae Rhizoma,Peppermint,Humuli Scandentis Herba,
,,,,Herba Solani Lyrati,Smilacis Glabrae Rhizoma,Glycyrrhiza,Carthami Flos,Fritillariae Cirrhosae Bulbus,Cyrtomium Rhizome,Cow-Bezoar,Smilacis Glabrae Rhizoma,Mistletoe,Raisin Tree Seed,Modern Rose,Tatarian Aster Root,Achyranthes Bidentata,Smilacis Chinae Rhizoma,Flower of Lobed Kudzuvine,Mistletoe,
,,,,Cynanchi Atrati Radix Et Rhizoma,Radix Physochlainae ,Menispermi Rhizoma,Stigma Maydis,Spiderflower Seed,Clematidis Radix Et Rhizoma,India Madder Root,Germinated Barley,Ricepaperplant Pith,Tatarian Aster Root,Mori Folium,Raisin Tree Seed,Spina Date Seed,Humuli Scandentis Herba,Humuli Scandentis Herba,Chinese Gall,
,,,,Platycladi Cacumen,Fruit of Tree-of-heaven Ailanthus,,Euphorbiae Pekinensis Radix,,Curcumae Radix,Aucklandiae Radix,Achyranthes Bidentata,Sanqi,Fructus Jujubae ,Chinese Honeylocust Spine,Kadsura Pepper Stem,Chinese Cinquefoil,Stem Pith of Himalayan Stachyurus,Fagopyri Dibotryis Rhizoma,Calendula officinalis,
,,,,Polyporus,Ginkgo Seed,,Cortex Periplocae,,Root of Garden Eggplant,Greater Calandine Herb,Spiderflower Seed,Giant Knotweed Rhizome,Mulberry Twig,Tatarian Aster Root,川Akebia Stem,Wild Chrysanthemum,Common Fenugreek Seed,Japanese Ginseng,Ginseng,
,,,,,Radix Trichosanthis,,Artemisiae Annuae Herba,,,,Common Fenugreek Seed,Garlic,Largeleaf Gentian Root,Cicada Slough,Dried Ginger,Euphorbiae Pekinensis Radix,Cortex Erythrinae Seu Kalopanacis,Chinese Pulsatilla Root,Cow-Bezoar,
,,,,,,,,,,,Epimedium Herb,,Salviae Miltiorrhizae,Fortune’s Drynaria Rhizome,Radix Physochlainae ,,,Ramulus Euonymi Alati,,
,,,,,,,,,,,Arecae Pericarpium,,Bletilla Striata,Herba Solani Lyrati,,,,Cyrtomium Rhizome,,
