指南药物,SDNE结果
败酱草,桑叶
半夏,沙棘
柴胡,红花
川芎,前胡
当归,麻黄
广藿香,紫苏
诃子,满山红
款冬花,高良姜
连翘,葛花
马鞭草,砂仁
人参,蒺藜
桑叶,两面针
吴茱萸,相思子
细辛,络石藤
郁金,菊苣
枳实,知母
紫苏,小蓟
紫菀,龙胆
甘草,平贝母
苦杏仁,旋覆花
石膏,山茱萸
麻黄,月季花
黄芩,银杏叶
茯苓,金银花
白术,连翘
陈皮,菊花
桂枝,黄药子
山药,菝葜
生姜,款冬花
泽泻,土茯苓
猪苓,鼠曲草
苏合香,金盏菊花
安息香,苦楝皮
冰片,马勃
檀香,金沸草
香附,龙葵
木香,木通
乳香,佩兰
荜茇,拳参
赤芍,凤眼草
苍术,连钱草
葶苈子,鸡屎藤
大黄,金樱子
草果,羌活
厚朴,地耳草
黄芪,黄柏
牛黄,大枣
黄连,牛膝
栀子,金荞麦
南沙参,板蓝根
北沙参,丹参
西洋参,贯叶金丝桃
芦根,薤白
丹参,郁金
槟榔,木香
知母,天冬
青蒿,白果
大青叶,马钱子
白芷,墨旱莲
大腹皮,大黄
红花,鸭跖草
虎杖,桔梗
板蓝根,青黛
玄参,苦参
附子,青叶胆
白茅根,雷丸
橘红,黄连
薏苡仁,洋金花
薄荷,浙贝母
金银花,绿豆
贯众,萱草根
鱼腥草,苍术
红景天,槲寄生
,玉米须
,白及
,大腹皮
,白屈菜
,大蒜
,白毛藤
,华山参
,茄根
,京大戟
,海桐皮
,贯众
,百部
,白茅根
,白薇
,路路通
,香加皮
,柿蒂
,威灵仙
,苦丁茶
,侧柏叶
,甘草
,青蒿
,川贝母
,赤小豆
,金果揽
,草乌叶
,夏天无
,猪苓
,天花粉
,北豆根
,酸枣仁
,白花菜子
,麻黄根
